Наименование_организации_ДЗО,count_incidents,mean_stazh,median_stazh,min_stazh,max_stazh,zero_or_missing_stazh_count,valid_stazh_count
"ТОО ""Camellia Trade""",2,,,,,2,0
"ТОО ""Daisy Partners""",1,1.0,1.0,1.0,1.0,0,1
"ТОО ""Flora Capital""",2,,,,,2,0
"ТОО ""Floraison KZ""",3,1.0,1.0,1.0,1.0,1,2
"ТОО ""Sunflower Company""",2,,,,,2,0
"ТОО ""Алма Гүл""",3,5.5,5.5,1.0,10.0,1,2
"ТОО ""Алтын Раушан""",13,,,,,13,0
"ТОО ""Белая Магнолия""",4,,,,,4,0
"ТОО ""Весенний Букет""",113,9.15,10.0,1.0,20.0,93,20
"ТОО ""Весенний Букет"" Управление производственно-технического обслуживания и комплектации оборудованием ",1,,,,,1,0
"ТОО ""Гүл Нұры""",1,,,,,1,0
"ТОО ""Гүл Шабыт""",1,15.0,15.0,15.0,15.0,0,1
"ТОО ""Гүл Әлемі""",11,,,,,11,0
"ТОО ""Гүлдер Маркет""",1,,,,,1,0
"ТОО ""Гүлстан Флора""",6,,,,,6,0
"ТОО ""Жасмин Люкс""",1,5.0,5.0,5.0,5.0,0,1
"ТОО ""Ирис Group""",3,,,,,3,0
"ТОО ""Лавандовый Сад""",1,,,,,1,0
"ТОО ""Лазурная Лилия""",4,,,,,4,0
"ТОО ""Нежный Пион""",2,,,,,2,0
"ТОО ""Орхидея Астана""",4,,,,,4,0
"ТОО ""Полевой Василёк""",1,,,,,1,0
"ТОО ""Роза Ветров KZ""",1,1.0,1.0,1.0,1.0,0,1
"ТОО ""Розовый Рассвет""",12,,,,,12,0
"ТОО ""Сакура KZ""",17,,,,,17,0
"ТОО ""Тюльпан Премиум""",11,15.0,15.0,15.0,15.0,10,1
"ТОО ""Цветочный Караван""",1,,,,,1,0
,1,,,,,1,0
