feature,dtype,non_null_rate_train,unique_train,test_roc_auc,test_pr_auc
is_risk_signal,int64,1.0,2,0.5128292046936115,0.008978790027177124
past_risk_signal_count_7d,int64,1.0,9,0.47720990873533253,0.009167043208852657
past_risk_signal_count_14d,int64,1.0,13,0.44550195567144724,0.009332440676620271
future_incident_count_7d,int64,1.0,12,1.0,1.0
future_severe_incident_count_7d,int64,1.0,3,0.5769230769230769,0.16123862696443342
future_max_severity_7d,float64,0.0014407145944388417,1,0.5,0.008736559139784945
future_mean_severity_7d,float64,0.0014407145944388417,2,0.5,0.008736559139784945
future_min_days_to_incident_7d,float64,0.005330643999423714,37,1.0,1.0
future_mean_days_to_incident_7d,float64,0.005330643999423714,37,1.0,1.0
future_incident_count_14d,int64,1.0,17,1.0,1.0
future_severe_incident_count_14d,int64,1.0,3,0.6538461538461539,0.3137406947890819
future_max_severity_14d,float64,0.002593286269989915,1,0.5,0.008736559139784945
future_mean_severity_14d,float64,0.002593286269989915,2,0.5,0.008736559139784945
future_min_days_to_incident_14d,float64,0.007779858809969745,54,1.0,1.0
future_mean_days_to_incident_14d,float64,0.007779858809969745,54,1.0,1.0
future_max_similarity_7d,float64,0.005330643999423714,37,1.0,1.0
future_mean_similarity_7d,float64,0.005330643999423714,37,1.0,1.0
future_top1_similarity_7d,float64,0.005330643999423714,37,1.0,1.0
future_top3_mean_similarity_7d,float64,0.005330643999423714,37,1.0,1.0
future_similar_incident_count_7d,int64,1.0,13,0.6923076923076923,0.38999172870140614
future_max_similarity_14d,float64,0.007779858809969745,54,1.0,1.0
future_mean_similarity_14d,float64,0.007779858809969745,54,1.0,1.0
future_top1_similarity_14d,float64,0.007779858809969745,54,1.0,1.0
future_top3_mean_similarity_14d,float64,0.007779858809969745,54,1.0,1.0
future_similar_incident_count_14d,int64,1.0,18,0.6923076923076923,0.38999172870140614
incident_in_next_7d,int64,1.0,2,1.0,1.0
incident_in_next_14d,int64,1.0,2,1.0,1.0
severe_incident_in_next_14d,int64,1.0,2,0.6538461538461539,0.3137406947890819
semantically_similar_incident_in_next_14d,int64,1.0,2,0.6923076923076923,0.38999172870140614
is_good_practice,int64,1.0,2,0.51877444589309,0.009124276261373035
work_stopped_flag,int64,1.0,2,0.5927249022164276,0.01074197308068276
reported_to_responsible_flag,int64,1.0,2,0.581981747066493,0.01174639279477989
hazard_eliminated_flag,int64,1.0,2,0.5399478487614081,0.009668296599036636
year,int64,1.0,5,0.5,0.008736559139784945
month,int64,1.0,12,0.39254237288135596,0.008736559139784945
day,int64,1.0,31,0.6270143415906128,0.014488429132311473
hour,int64,1.0,24,0.4898305084745763,0.011473026538360218
day_of_week,int64,1.0,7,0.5200260756192959,0.009133067235296331
is_weekend,int64,1.0,2,0.48641460234680567,0.00853631069334391
past_korgau_count_1d,int64,1.0,5,0.5047196870925684,0.008819678206700316
past_korgau_count_7d,int64,1.0,11,0.5776271186440678,0.011491609487009034
past_korgau_count_14d,int64,1.0,15,0.4146023468057366,0.007680706681905018
emb_0,float64,1.0,6930,0.4286310299869622,0.00823192188110648
emb_1,float64,1.0,6930,0.5360886571056063,0.013233010095252282
emb_2,float64,1.0,6931,0.44357235984354626,0.010919190328600416
emb_3,float64,1.0,6931,0.6001043024771838,0.015786315024412592
emb_4,float64,1.0,6931,0.5877183833116038,0.010568225794510203
emb_5,float64,1.0,6930,0.5336114732724903,0.009598479888470412
emb_6,float64,1.0,6931,0.42683181225554107,0.008172435730541622
emb_7,float64,1.0,6928,0.557574967405476,0.01119629405817284
emb_8,float64,1.0,6931,0.48904823989569757,0.009849344600651504
emb_9,float64,1.0,6930,0.38873533246414604,0.007705848500622496
emb_10,float64,1.0,6930,0.6283702737940026,0.017402338921994383
emb_11,float64,1.0,6930,0.5446936114732726,0.00974600217954401
emb_12,float64,1.0,6929,0.5589308996088658,0.01689103118023484
emb_13,float64,1.0,6931,0.44310299869621905,0.012751143667631998
emb_14,float64,1.0,6929,0.5942894393741852,0.01766456025046801
emb_15,float64,1.0,6930,0.600573663624511,0.01222382071761967
emb_16,float64,1.0,6927,0.523754889178618,0.009362682513361576
emb_17,float64,1.0,6931,0.5202868318122554,0.010045628667820411
emb_18,float64,1.0,6930,0.5746284224250326,0.012775576082179574
emb_19,float64,1.0,6929,0.40649282920469365,0.008413394532591448
emb_20,float64,1.0,6931,0.5192438070404173,0.012425777845064233
emb_21,float64,1.0,6928,0.5246675358539765,0.01007818310280693
emb_22,float64,1.0,6929,0.6344980443285528,0.01423401032292525
emb_23,float64,1.0,6930,0.44597131681877444,0.014562578231692538
emb_24,float64,1.0,6927,0.5714471968709256,0.010457785413340784
emb_25,float64,1.0,6929,0.6087353324641461,0.011532581985640633
emb_26,float64,1.0,6931,0.5492568448500652,0.01459446948711587
emb_27,float64,1.0,6931,0.5315514993481095,0.010204373891203405
emb_28,float64,1.0,6929,0.5367666232073012,0.010052298995259026
emb_29,float64,1.0,6929,0.5073794002607562,0.010344862732136244
emb_30,float64,1.0,6930,0.4088135593220339,0.007466565256048304
emb_31,float64,1.0,6930,0.45207301173402875,0.007983855665317317
emb_32,float64,1.0,6931,0.42659713168187746,0.007687405061324572
emb_33,float64,1.0,6929,0.3968187744458931,0.007763799503220427
emb_34,float64,1.0,6928,0.35681877444589316,0.006965423653981284
emb_35,float64,1.0,6931,0.4740808344198175,0.008206250671516483
emb_36,float64,1.0,6930,0.5260495436766623,0.026918787923693118
