ID,Наименование_организации_ДЗО,Область,Тяжесть_травмы,Классификация_НС,Краткое_описание_происшествия,risk_score,anomaly_score
76,"ТОО ""Весенний Букет""",Мангистауская область,Относится к тяжелым,Утопление,Во время осуществления погрузки подземного оборудования (штанги на полуприцеп авто-транспортного средства) стропальщик упал с площадки полуприцепа на землю.,2.5,-0.05470853359157146
73,"ТОО ""Жасмин Люкс""",Атырауская область,Относится к тяжелым,Утопление,"Трубопроводчик линейный Аварийно-восстановительного пункта Атырауского нефтепроводного управления, при выполнении работ по зачистке стенда под покраску для конкурса «Лучший по профессии» получил травму правого глаза.",2.166666666666667,-0.04553554697216322
190,"ТОО ""Белая Магнолия""",Атырауская область,,,"9 июня 2025 года примерно в 06:20 на перекрёстке проспектов К. Сатпаева и И. Тайманова в городе Атырау произошло дорожно-транспортное происшествие с участием автобуса марки Hyundai Universe, принадлежащего ТОО «NUR-TILEK TRANSSERVICE». В ходе поворота со второй полосы автобус столкнулся с микроавтобусом Toyota Hiace, выполнявшим поворот с первой полосы. В результате ДТП пострадавших нет.",,-0.034123950821269844
165,"ТОО ""Алма Гүл""",Атырауская область,Летальный случай (погиб),,29.09.2025 около 10:00 поступила информация о смерти Досмуратова Мурата Абиевича при нахождении в служебной командировке в г. Атырау. Смерть наступила при пребывании в номере Гостиницы Somerset City Centre Atyrau. Причина смерти на настоящий момент неизвестна.,2.5,-0.03358203237516355
81,"ТОО ""Гүл Шабыт""",Мангистауская область,Относится к тяжелым,Утопление,"При проведении демонтажных работ трубопровода Ø219мм и толщиной 10 мм на участке №1, в процессе выполнения резки произошел внезапный отскок отрезанного участка трубы, который ударил газоэлектросварщика 5 разряда верхнюю часть левой голени.",2.0625,-0.033172907595471424
176,"ТОО ""Весенний Букет""",Мангистауская область,,,"Култымбаев Таңат Түйебайұлы №4
СЖЖЦ База 4 дәрежелі стропальщик 07.07.1970",,-0.03142155128884394
79,"ТОО ""Весенний Букет""",Мангистауская область,Относится к тяжелым,Утопление,"Во время подготовки скважины №1612 к текущему ремонту, оператор ДНГ при самовольном подъёме на пирамиду станка-качалки для откидывания головки балансира поскользнувшись упал на землю.",,-0.030450732479155196
173,"ТОО ""Весенний Букет""",Мангистауская область,,,"Ходжагалиев Мади Сатыбаевич
ЖЖДжЖЦ
слесарь жөндеуші
07.07.1981",,-0.024448853340591326
82,"ТОО ""Camellia Trade""",Мангистауская область,Относится к тяжелым,Падение пострадавшего,"Оператор 3 разряда, после завершения работы по смене троса станка качалки, при спуске по лестнице рабочей площадки, споткнувшись упал на землю и при падении получил травму левой руки.",,-0.023888578895573165
77,"ТОО ""Весенний Букет""",Мангистауская область,Относится к тяжелым,Падение пострадавшего,"Оператор при подготовке к ремонту станка-качалки скважины № 6038, при отсоединении троса от траверсы, поскользнулся и упал, в результате чего получил травму правой ноги.",2.090909090909091,-0.02306876011325787
43,"ТОО ""Floraison KZ""",Мангистауская область,Относится к тяжелым,Падение пострадавшего,"На территории Производственно-ремонтного цеха ТОО «Ойл Транспорт Корпорейшэн» при проведении ремонтных работ кондиционера на автобусе, слесарь по ремонту и обслуживания систем вентиляции и кондиционирования подрядной организации (аутстаффинг) ЧУ «Samruk Business Academy»  получил производственную травму (ушибы тела) в результате падения с высоты (с приставной лестницы).",2.5,-0.019596622158319588
78,"ТОО ""Весенний Букет""",Мангистауская область,Не относится к тяжелым,Утопление,"Во время ручного прикручивания штанги к плунжерному насосу на скважине №8312 ГУ № 62 НГДУ-3 оператором ПРС бригады №20 ЦПКРС УБР, штанговый элеватор соскочил с крюка и соскользнув по штанге, упал на правую руку оператора.",2.0625,-0.017180077264355775
42,"ТОО ""Floraison KZ""",Мангистауская область,Относится к тяжелым,Убийство или телесное повреждение,"14.05.2025г. в 15:30ч слесарь по ремонту автомобилей подрядной организации ЧУ «Samruk Business Academy» (аутстаффинг) ТОО «Ойл Транспорт Корпорейшэн», в смотровой яме при выполнении работ по замене втулки задней рессоры на автобусе «Toyota Coaster» получил травму правого глаза в результате воздействия инструмента (отвертки).",2.5,-0.016536960674072954
83,"ТОО ""Роза Ветров KZ""",Атырауская область,Не относится к тяжелым,Дорожное происшествие на транспорте организации,"26.03.2025 года, на трассе Атырау – Доссор на 31 км., при повороте на автодорогу ИГХК (в сторону завода KPI) произошло ДТП, с участием автобуса TOYOTA COASTER подрядной организации ТОО «ОмарАвто» и стороннего автотранспорта Лада «Vesta», В результате ДТП в автомобиле Lada Vesta погибли 3 человека, ещё 2 пассажира получили различные травмы и были госпитализированы. Кроме того, 3 работника подрядных организаций и 6 сотрудников ТОО «KPI Inc.» направлены на медицинский осмотр.",2.5,-0.014080949478297633
207,"ТОО ""Полевой Василёк""",Мангистауская область,,,"В 07:05 при подаче дополнительных швартовых для обеспечения безопасной стоянки, командиром швартовой команды 2-м помощником капитана Масакбаевым М.С. по переносной радиостанции  было доложено о задымлении и самовозгорании фальштрубы левого борта.",,-0.013307269422382806
150,"ТОО ""Весенний Букет""",Мангистауская область,,,"НГДУ-4
Аяпов Әділхан Максатович
№4 СЖЖЦ №4 бригада 4 дәрежелі ЖАЖ операторы",,-0.011830240396691116
