Наименование_организации_ДЗО,incident_count,avg_risk_score,max_risk_score,median_risk_score,avg_stazh,median_stazh,avg_age,median_age
"ТОО ""Floraison KZ""",2,2.5,2.5,2.5,1.0,1.0,46.5,46.5
"ТОО ""Daisy Partners""",1,2.5,2.5,2.5,1.0,1.0,22.0,22.0
"ТОО ""Роза Ветров KZ""",1,2.5,2.5,2.5,1.0,1.0,26.0,26.0
"ТОО ""Весенний Букет""",20,2.244669913419913,2.5,2.090909090909091,9.15,10.0,46.90909090909091,51.5
"ТОО ""Жасмин Люкс""",1,2.166666666666667,2.166666666666667,2.166666666666667,5.0,5.0,,
"ТОО ""Гүл Шабыт""",1,2.0625,2.0625,2.0625,15.0,15.0,54.0,54.0
"ТОО ""Тюльпан Премиум""",1,2.0625,2.0625,2.0625,15.0,15.0,48.0,48.0
"ТОО ""Алма Гүл""",2,1.7954545454545454,2.5,1.7954545454545454,5.5,5.5,49.0,49.0
"ТОО ""Camellia Trade""",0,,,,,,42.0,42.0
"ТОО ""Flora Capital""",0,,,,,,,
"ТОО ""Sunflower Company""",0,,,,,,,
"ТОО ""Алтын Раушан""",0,,,,,,,
"ТОО ""Белая Магнолия""",0,,,,,,,
"ТОО ""Весенний Букет"" Управление производственно-технического обслуживания и комплектации оборудованием ",0,,,,,,,
"ТОО ""Гүл Нұры""",0,,,,,,,
"ТОО ""Гүл Әлемі""",0,,,,,,,
"ТОО ""Гүлдер Маркет""",0,,,,,,1.0,1.0
"ТОО ""Гүлстан Флора""",0,,,,,,,
"ТОО ""Ирис Group""",0,,,,,,,
"ТОО ""Лавандовый Сад""",0,,,,,,,
"ТОО ""Лазурная Лилия""",0,,,,,,,
"ТОО ""Нежный Пион""",0,,,,,,,
"ТОО ""Орхидея Астана""",0,,,,,,,
"ТОО ""Полевой Василёк""",0,,,,,,,
"ТОО ""Розовый Рассвет""",0,,,,,,,
"ТОО ""Сакура KZ""",0,,,,,,,
"ТОО ""Цветочный Караван""",0,,,,,,,
