observation_type,observation_category,rows,positives,positive_rate
good_practice,"Поддержание чистоты и порядка, Выполнение требований инструкций, СИЗ / Средства по обеспечению безопасности",1,1,1.0
other,"Выполнение требований инструкций, Целостность объекта / Оборудования",1,1,1.0
other,"СИЗ / Средства по обеспечению безопасности, Земляные работы, Трубопроводы / Подземные коммуникации",1,1,1.0
unsafe_action,"Выполнение требований инструкций, Сварка / Шлифовка / Отжиг, СИЗ / Средства по обеспечению безопасности",1,1,1.0
unsafe_action,"Проскальзывание / Спотыкание / Падение, Опасные природные явления / Погодные условия",1,1,1.0
unsafe_behavior,"Работы в замкнутом пространстве, Выполнение требований инструкций, Наряд-допуск / Оценка риска",1,1,1.0
unsafe_condition,"Работы в замкнутом пространстве, Выполнение требований инструкций",1,1,1.0
unsafe_condition,"Целостность объекта / Оборудования, Переносное оборудование / Ручные инструменты, Электрооборудование",1,1,1.0
danger_factor,"Целостность объекта / Оборудования, Падающие предметы",2,1,0.5
unsafe_action,"Знаки безопасности / Предупредительные таблички, Вывешивание плакатов",2,1,0.5
unsafe_action,"Работы в замкнутом пространстве, Выполнение требований инструкций, СИЗ / Средства по обеспечению безопасности",2,1,0.5
unsafe_behavior,"Поддержание чистоты и порядка, Машины и оборудование",2,1,0.5
good_practice,"Поддержание чистоты и порядка, Вождение",3,1,0.3333333333333333
other,"Работы на высоте / Строительные леса, СИЗ / Средства по обеспечению безопасности",3,1,0.3333333333333333
unsafe_action,"Работы на высоте / Строительные леса, СИЗ / Средства по обеспечению безопасности",3,1,0.3333333333333333
danger_factor,Опасные вещества/сероводород,4,1,0.25
danger_factor,Опасные природные явления / Погодные условия,4,1,0.25
unsafe_behavior,Испытание под давлением,4,1,0.25
unsafe_action,"Вождение, Выполнение требований инструкций, СИЗ / Средства по обеспечению безопасности",5,1,0.2
unsafe_condition,"Целостность объекта / Оборудования, Падающие предметы",5,1,0.2
unsafe_condition,"Электрооборудование, Рабочее место / Эргономика",5,1,0.2
good_practice,"Вождение, Трубопроводы / Подземные коммуникации, Наряд-допуск / Оценка риска",11,2,0.18181818181818182
unsafe_action,"Проскальзывание / Спотыкание / Падение, Выполнение требований инструкций",7,1,0.14285714285714285
unsafe_action,"СИЗ / Средства по обеспечению безопасности, Наряд-допуск / Оценка риска",7,1,0.14285714285714285
unsafe_condition,"Целостность объекта / Оборудования, Выполнение требований инструкций",7,1,0.14285714285714285
unsafe_condition,"Проскальзывание / Спотыкание / Падение, Опасные природные явления / Погодные условия",9,1,0.1111111111111111
good_practice,"Трубопроводы / Подземные коммуникации, Вождение",10,1,0.1
unsafe_condition,"Охрана окружающей среды, Поддержание чистоты и порядка",10,1,0.1
unsafe_behavior,Электрооборудование,12,1,0.08333333333333333
unsafe_behavior,Рабочее место / Эргономика,14,1,0.07142857142857142
unsafe_condition,Испытание под давлением,14,1,0.07142857142857142
good_practice,Санитарно-бытовые помещения,18,1,0.05555555555555555
good_practice,Монтажные и грузоподъемные работы,38,2,0.05263157894736842
good_practice,Вывешивание плакатов,20,1,0.05
unsafe_action,Охрана окружающей среды,21,1,0.047619047619047616
good_practice,"Поддержание чистоты и порядка, Наряд-допуск / Оценка риска",22,1,0.045454545454545456
good_practice,"Наряд-допуск / Оценка риска, Целостность объекта / Оборудования",23,1,0.043478260869565216
unsafe_condition,Аварийное реагирование / Готовность к ЧС,23,1,0.043478260869565216
unsafe_action,Машины и оборудование,75,3,0.04
unsafe_behavior,Взрыво- и пожароопасность,25,1,0.04
danger_factor,Работы на высоте / Строительные леса,29,1,0.034482758620689655
unsafe_condition,Падающие предметы,93,3,0.03225806451612903
unsafe_behavior,Поддержание чистоты и порядка,62,2,0.03225806451612903
unsafe_behavior,Работы на высоте / Строительные леса,32,1,0.03125
unsafe_condition,"Поддержание чистоты и порядка, Охрана окружающей среды",32,1,0.03125
good_practice,Знаки безопасности / Предупредительные таблички,35,1,0.02857142857142857
unsafe_condition,Трубопроводы / Подземные коммуникации,71,2,0.028169014084507043
good_practice,Выполнение требований инструкций,81,2,0.024691358024691357
unsafe_behavior,Прочее,43,1,0.023255813953488372
unsafe_action,Проскальзывание / Спотыкание / Падение,47,1,0.02127659574468085
unsafe_action,Знаки безопасности / Предупредительные таблички,49,1,0.02040816326530612
other,Поддержание чистоты и порядка,50,1,0.02
unsafe_action,Электрооборудование,53,1,0.018867924528301886
good_practice,Прочее,160,3,0.01875
good_practice,"Целостность объекта / Оборудования, Наряд-допуск / Оценка риска",54,1,0.018518518518518517
unsafe_condition,Вождение,55,1,0.01818181818181818
other,Целостность объекта / Оборудования,59,1,0.01694915254237288
unsafe_condition,Знаки безопасности / Предупредительные таблички,62,1,0.016129032258064516
unsafe_behavior,Выполнение требований инструкций,63,1,0.015873015873015872
danger_factor,Электрооборудование,66,1,0.015151515151515152
danger_factor,Целостность объекта / Оборудования,67,1,0.014925373134328358
unsafe_action,Прочее,69,1,0.014492753623188406
unsafe_condition,Электрооборудование,213,3,0.014084507042253521
good_practice,Наряд-допуск / Оценка риска,147,2,0.013605442176870748
