organization,observation_type,observation_category,rows,positives,positive_rate,min_time,max_time
"ТОО ""Весенний Букет""",good_practice,Прочее,3,3,1.0,2025-11-28 15:10:00,2026-01-16 01:04:00
"ТОО ""Весенний Букет""",unsafe_behavior,СИЗ / Средства по обеспечению безопасности,3,3,1.0,2025-05-27 20:30:00,2025-09-06 14:40:00
"ТОО ""Весенний Букет""",good_practice,"Вождение, Трубопроводы / Подземные коммуникации, Наряд-допуск / Оценка риска",2,2,1.0,2025-05-26 03:10:00,2025-05-26 19:27:00
"ТОО ""Весенний Букет""",good_practice,Наряд-допуск / Оценка риска,2,2,1.0,2025-10-07 16:15:00,2026-01-10 16:41:00
"ТОО ""Весенний Букет""",other,Рабочее место / Эргономика,2,2,1.0,2025-06-23 16:10:00,2025-07-28 14:59:00
"ТОО ""Весенний Букет""",unsafe_condition,Трубопроводы / Подземные коммуникации,2,2,1.0,2025-06-26 15:26:00,2025-11-25 20:02:00
"ТОО ""Весенний Букет""",danger_factor,Опасные вещества/сероводород,1,1,1.0,2025-08-31 20:22:00,2025-08-31 20:22:00
"ТОО ""Весенний Букет""",danger_factor,Опасные природные явления / Погодные условия,1,1,1.0,2025-12-10 14:00:00,2025-12-10 14:00:00
"ТОО ""Весенний Букет""",danger_factor,Работы на высоте / Строительные леса,1,1,1.0,2025-08-29 15:20:00,2025-08-29 15:20:00
"ТОО ""Весенний Букет""",danger_factor,Целостность объекта / Оборудования,1,1,1.0,2025-11-21 16:00:00,2025-11-21 16:00:00
"ТОО ""Весенний Букет""",danger_factor,"Целостность объекта / Оборудования, Падающие предметы",1,1,1.0,2025-10-15 14:00:00,2025-10-15 14:00:00
"ТОО ""Весенний Букет""",good_practice,"Наряд-допуск / Оценка риска, Целостность объекта / Оборудования",1,1,1.0,2025-10-01 19:47:00,2025-10-01 19:47:00
"ТОО ""Весенний Букет""",good_practice,"Поддержание чистоты и порядка, Вождение",1,1,1.0,2025-10-02 20:33:00,2025-10-02 20:33:00
"ТОО ""Весенний Букет""",good_practice,"Поддержание чистоты и порядка, Выполнение требований инструкций, СИЗ / Средства по обеспечению безопасности",1,1,1.0,2025-12-08 14:30:00,2025-12-08 14:30:00
"ТОО ""Весенний Букет""",good_practice,"Поддержание чистоты и порядка, Наряд-допуск / Оценка риска",1,1,1.0,2025-11-23 11:49:00,2025-11-23 11:49:00
"ТОО ""Весенний Букет""",good_practice,Санитарно-бытовые помещения,1,1,1.0,2025-07-29 16:35:00,2025-07-29 16:35:00
"ТОО ""Весенний Букет""",good_practice,"Трубопроводы / Подземные коммуникации, Вождение",1,1,1.0,2025-10-08 11:38:00,2025-10-08 11:38:00
"ТОО ""Весенний Букет""",good_practice,"Целостность объекта / Оборудования, Наряд-допуск / Оценка риска",1,1,1.0,2025-07-02 19:14:00,2025-07-02 19:14:00
"ТОО ""Весенний Букет""",other,"Выполнение требований инструкций, Целостность объекта / Оборудования",1,1,1.0,2025-07-20 15:07:00,2025-07-20 15:07:00
"ТОО ""Весенний Букет""",other,Поддержание чистоты и порядка,1,1,1.0,2026-01-22 19:18:00,2026-01-22 19:18:00
"ТОО ""Весенний Букет""",other,"Работы на высоте / Строительные леса, СИЗ / Средства по обеспечению безопасности",1,1,1.0,2025-10-06 19:37:00,2025-10-06 19:37:00
"ТОО ""Весенний Букет""",other,"СИЗ / Средства по обеспечению безопасности, Земляные работы, Трубопроводы / Подземные коммуникации",1,1,1.0,2025-11-19 20:40:00,2025-11-19 20:40:00
"ТОО ""Весенний Букет""",other,Целостность объекта / Оборудования,1,1,1.0,2025-10-10 21:49:00,2025-10-10 21:49:00
