organization,rows,positives,positive_rate,min_time,max_time
"ТОО ""Весенний Букет""",154,93,0.6038961038961039,2024-04-10 19:00:00,2026-02-24 13:30:00
"ТОО ""Алая Гвоздика""",155,0,0.0,2024-01-11 20:56:00,2026-02-23 19:55:00
"ТОО ""Алтын Бәйшешек""",155,0,0.0,2024-06-25 22:00:00,2026-02-21 15:00:00
"ТОО ""Алый Тюльпан""",155,0,0.0,2024-04-12 15:11:00,2026-02-24 14:00:00
"ТОО ""Ароматный Мирт""",155,0,0.0,1969-12-16 03:49:00,2026-02-25 22:38:00
"ТОО ""Белая Роза""",155,0,0.0,2024-01-11 19:55:00,2026-02-24 14:00:00
"ТОО ""Белоснежная Азалия""",155,0,0.0,2024-02-13 23:00:00,2026-02-23 15:53:00
"ТОО ""Белый Лотос KZ""",155,0,0.0,2024-02-14 23:46:00,2026-02-25 18:50:00
"ТОО ""Весенний Крокус""",155,0,0.0,2024-06-07 01:45:00,2026-02-21 20:30:00
"ТОО ""Весенний Пион""",155,0,0.0,2024-01-06 21:00:00,2026-02-23 19:50:00
"ТОО ""Гармония Лилий""",155,0,0.0,2024-03-12 14:55:00,2026-02-22 15:00:00
"ТОО ""Голубая Гортензия""",155,0,0.0,2024-01-05 19:00:00,2026-02-25 13:20:00
"ТОО ""Горная Эдельвейс""",155,0,0.0,2024-04-12 21:52:00,2026-02-23 21:37:00
"ТОО ""Грация Гортензии""",155,0,0.0,2024-02-07 14:25:00,2026-02-26 12:40:00
"ТОО ""Дикая Ромашка""",155,0,0.0,2024-04-17 20:55:00,2026-02-20 21:30:00
"ТОО ""Жемчужная Фрезия""",155,0,0.0,2024-06-12 15:44:00,2026-02-21 17:00:00
"ТОО ""Звёздный Амариллис""",155,0,0.0,2024-07-17 21:10:00,2026-02-21 23:32:00
"ТОО ""Золотая Лилия""",155,0,0.0,2024-04-09 15:45:00,2026-02-24 07:30:00
"ТОО ""Золотой Подсолнух""",155,0,0.0,2024-03-12 17:54:00,2026-02-23 14:00:00
"ТОО ""Изумрудный Папоротник""",155,0,0.0,1965-03-29 13:28:00,2026-02-21 21:00:00
"ТОО ""Имперская Орхидея""",155,0,0.0,2024-04-05 18:15:00,2026-02-25 16:10:00
"ТОО ""Каспийский Тюльпан""",155,0,0.0,2024-04-17 23:24:00,2026-02-21 01:27:00
"ТОО ""Кристальный Ирис""",155,0,0.0,2024-05-11 16:12:00,2026-02-25 16:10:00
"ТОО ""Көктем Гүлі""",155,0,0.0,2024-02-01 23:17:00,2026-02-21 16:00:00
