feature,dtype,non_null_rate_train,unique_train,test_roc_auc,test_pr_auc
future_incident_count_7d,int64,1.0,12,1.0,1.0
future_min_days_to_incident_7d,float64,0.0053306439994237,37,1.0,1.0
future_mean_days_to_incident_7d,float64,0.0053306439994237,37,1.0,1.0
future_incident_count_14d,int64,1.0,17,1.0,1.0
future_min_days_to_incident_14d,float64,0.0077798588099697,54,1.0,1.0
future_mean_days_to_incident_14d,float64,0.0077798588099697,54,1.0,1.0
future_max_similarity_7d,float64,0.0053306439994237,37,1.0,1.0
future_mean_similarity_7d,float64,0.0053306439994237,37,1.0,1.0
future_top1_similarity_7d,float64,0.0053306439994237,37,1.0,1.0
future_top3_mean_similarity_7d,float64,0.0053306439994237,37,1.0,1.0
future_max_similarity_14d,float64,0.0077798588099697,54,1.0,1.0
future_mean_similarity_14d,float64,0.0077798588099697,54,1.0,1.0
future_top1_similarity_14d,float64,0.0077798588099697,54,1.0,1.0
future_top3_mean_similarity_14d,float64,0.0077798588099697,54,1.0,1.0
incident_in_next_7d,int64,1.0,2,1.0,1.0
incident_in_next_14d,int64,1.0,2,1.0,1.0
future_similar_incident_count_7d,int64,1.0,13,0.6923076923076923,0.3899917287014061
future_similar_incident_count_14d,int64,1.0,18,0.6923076923076923,0.3899917287014061
semantically_similar_incident_in_next_14d,int64,1.0,2,0.6923076923076923,0.3899917287014061
future_severe_incident_count_14d,int64,1.0,3,0.6538461538461539,0.3137406947890819
severe_incident_in_next_14d,int64,1.0,2,0.6538461538461539,0.3137406947890819
emb_22,float64,1.0,6929,0.6344980443285528,0.0142340103229252
emb_10,float64,1.0,6930,0.6283702737940026,0.0174023389219943
day,int64,1.0,31,0.6270143415906128,0.0144884291323114
emb_25,float64,1.0,6929,0.6087353324641461,0.0115325819856406
emb_15,float64,1.0,6930,0.600573663624511,0.0122238207176196
emb_3,float64,1.0,6931,0.6001043024771838,0.0157863150244125
emb_14,float64,1.0,6929,0.5942894393741852,0.017664560250468
work_stopped_flag,int64,1.0,2,0.5927249022164276,0.0107419730806827
emb_4,float64,1.0,6931,0.5877183833116038,0.0105682257945102
reported_to_responsible_flag,int64,1.0,2,0.581981747066493,0.0117463927947798
past_korgau_count_7d,int64,1.0,11,0.5776271186440678,0.011491609487009
future_severe_incident_count_7d,int64,1.0,3,0.5769230769230769,0.1612386269644334
emb_18,float64,1.0,6930,0.5746284224250326,0.0127755760821795
emb_24,float64,1.0,6927,0.5714471968709256,0.0104577854133407
emb_12,float64,1.0,6929,0.5589308996088658,0.0168910311802348
emb_7,float64,1.0,6928,0.557574967405476,0.0111962940581728
emb_26,float64,1.0,6931,0.5492568448500652,0.0145944694871158
emb_11,float64,1.0,6930,0.5446936114732726,0.009746002179544
hazard_eliminated_flag,int64,1.0,2,0.5399478487614081,0.0096682965990366
emb_28,float64,1.0,6929,0.5367666232073012,0.010052298995259
emb_1,float64,1.0,6930,0.5360886571056063,0.0132330100952522
emb_5,float64,1.0,6930,0.5336114732724903,0.0095984798884704
emb_27,float64,1.0,6931,0.5315514993481095,0.0102043738912034
emb_36,float64,1.0,6930,0.5260495436766623,0.0269187879236931
emb_21,float64,1.0,6928,0.5246675358539765,0.0100781831028069
emb_16,float64,1.0,6927,0.523754889178618,0.0093626825133615
emb_17,float64,1.0,6931,0.5202868318122554,0.0100456286678204
day_of_week,int64,1.0,7,0.5200260756192959,0.0091330672352963
emb_20,float64,1.0,6931,0.5192438070404173,0.0124257778450642
